Date,Target Name,Target Industry Sector,"Target
Nation",Acquiror Name,Acquiror Industry Sector,"Acquiror
Nation","%
of
Shares
Acq.","%
Owned
After
Trans-
action","Value
of
Transaction
($mil)","Acquiror
Ticker
Symbol","Target
Ticker
Symbol","Acquiror
Datastream
Code","Target
Datastream
Code"
01.03.11,Tempo Libero Turismo SpA,Amusement and Recreation Services,Italy,Brainspark PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,20.00,20.0,.248,BSP,,290338,
01.03.11,Wagtech-Water Tech Division,Wholesale Trade-Durable Goods,United Kingdom,Halma PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,4.879,"HALMY
HLMA",,910821,
06.05.11,GE-Legacy fuel measurement,Aerospace and Aircraft,United Kingdom,BBA Aviation Plc,Air Transportation and Shipping,United Kingdom,100.00,100.0,62.50,"BBA
BBAVY",,900293,
02.03.11,Nautilus Ltd,Educational Services,United Kingdom,RPS Group PLC,Business Services,United Kingdom,100.00,100.0,30.526,RPS,,953598,
03.03.11,ORH Srl,Transportation and Shipping (except air),Italy,Brainspark PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,20.00,20.0,1.387,BSP,,290338,
03.03.11,Seaweed Energy Solutions AS,Chemicals and Allied Products,Norway,Stolt Nielsen Ltd,Transportation and Shipping (except air),United Kingdom,,,,"SNI
SNSA",,866218,
03.03.11,Krasnodar Ekspo,Amusement and Recreation Services,Russian Fed,ITE Group PLC,Business Services,United Kingdom,100.00,100.0,14.264,ITE,,907765,
04.03.11,BioWisdom Ltd,Prepackaged Software,United Kingdom,Instem PLC,Business Services,United Kingdom,100.00,100.0,2.441,INS,,70813E,
04.03.11,Sense Enterprise Solutions Ltd,Business Services,United Kingdom,K3 Business Tech Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,3.987,KBT,,135109,
13.07.11,Education Dvlp Int PLC,Educational Services,United Kingdom,Pearson PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,182.65,"PSO
PSO3
PSON",EDD,914021,291575
07.03.11,Henry Holdings Ltd,Communications Equipment,United Kingdom,Vitec Group PLC,Communications Equipment,United Kingdom,100.00,100.0,15.799,VTC,,926712,
07.03.11,Mobnotes Srl,Telecommunications,Italy,Brainspark PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,30.00,30.0,.838,BSP,,290338,
28.04.11,Moody International Ltd,Business Services,United Kingdom,Intertek Group PLC,Business Services,United Kingdom,100.00,100.0,730.00,ITRK,,258092,
01.04.11,NZ Generator Hire Ltd,Business Services,New Zealand,Aggreko PLC,Business Services,United Kingdom,100.00,100.0,20.283,AGK,,892907,
08.03.11,American Gold Mines Ltd,Mining,Colombia,Red Rock Resources PLC,Mining,United Kingdom,100.00,100.0,7.50,RRR,,31248F,
08.03.11,Con-X Construction Ltd,Construction Firms,Canada,Playbox(US)Inc,Prepackaged Software,United Kingdom,100.00,100.0,,PYBX,,51088V,
08.03.11,Medicel AG,"Measuring, Medical, Photo Equipment; Clocks",Switzerland,Halma PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,74.874,"HALMY
HLMA",,910821,
08.03.11,Talsa Construction Ltd,Construction Firms,Canada,Playbox(US)Inc,Prepackaged Software,United Kingdom,100.00,100.0,,PYBX,,51088V,
09.03.11,Fresh Direct LLC,Retail Trade-Food Stores,United States,WM Morrison Supermarkets PLC,Retail Trade-Food Stores,United Kingdom,10.00,10.0,51.389,MRW,,905576,
09.03.11,Get Motoring UK Ltd,Repair Services,United Kingdom,Lookers PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,,LOOK,,931093,
16.03.11,The Paterson Group Inc,Metal and Metal Products,United States,Hill & Smith Holdings PLC,Metal and Metal Products,United Kingdom,,,45.00,HILS,,911998,
10.03.11,BlueCrest-Waste-To-Energy,"Electric, Gas, and Water Distribution",United Kingdom,Four Rivers BioEnergy Inc,"Electric, Gas, and Water Distribution",United Kingdom,13.75,13.8,.133,FRBE,,32323L,
10.03.11,King World Travel Ltd,Transportation and Shipping (except air),United Kingdom,Minoan Group PLC,Hotels and Casinos,United Kingdom,100.00,100.0,.66,"MIN
MIN",,28915Q,
31.03.11,Kluever Aggregatebau GmbH,Machinery,Germany,Laird PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,34.761,LRD,,901107,
28.06.11,Vallar PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Vallar PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,",1954.347",VAA,VAA,69755H,69755H
28.04.11,Cia Nacional de Acucar e,"Agriculture, Forestry, and Fishing",Brazil,BP PLC,Oil and Gas; Petroleum Refining,United Kingdom,83.00,83.0,680.00,"BP
BP
BPE",,900995,
11.03.11,UK Work Permits Ltd,Business Services,United Kingdom,Judicium PLC,Business Services,United Kingdom,100.00,100.0,.752,JUD,,,
20.10.11,Century Mining Corp,Mining,United States,White Tiger Gold Ltd,Mining,United Kingdom,100.00,100.0,849.042,WTG,CMM,74095C,547500
29.03.12,Auzex Resources Ltd,Mining,Australia,GGG Resources plc,Mining,United Kingdom,91.50,100.0,75.977,"GGB
GGG","AZX
AZXRF",30476D,31579H
15.03.11,The Listening Co Ltd,Business Services,United Kingdom,Serco Group PLC,Business Services,United Kingdom,100.00,100.0,89.893,"SCGPY
SRP",,943663,
22.03.11,MedErgy HealthGroup Inc,Business Services,United States,Cello Group PLC,Business Services,United Kingdom,100.00,100.0,14.647,CLL,,29721J,
03.06.11,KEFI-Exploration Properties(4),Mining,Turkey,Ariana Resources PLC,Mining,United Kingdom,100.00,100.0,.08,AAU,,31335J,
17.03.11,Ethos Recruitment Ltd,Business Services,United Kingdom,Staffline Group PLC,Business Services,United Kingdom,100.00,100.0,,STAF,,29805X,
06.06.11,Ceres Media PLC,"Holding Companies, Except Banks",United Kingdom,Ceres Media Intl Plc (Now,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,99.18,99.2,7.416,CMI,,77621W,
31.03.11,Cannon Consumables Ltd,Wholesale Trade-Nondurable Goods,United Kingdom,Bunzl PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,"BNL
BNZL",,901067,
22.03.11,Grainger Geninvest,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Grainger PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,50.00,100.0,24.551,GRI,,931261,
22.03.11,Mayflower Retail Park,Real Estate; Mortgage Bankers and Brokers,United Kingdom,The British Land Co PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,83.472,BLND,,901587,
23.03.11,Atomic Communications LLC,Business Services,United States,Huntsworth PLC,Business Services,United Kingdom,100.00,100.0,50.00,HNT,,901156,
29.04.11,"Cathedral Lanes,Coventry",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,"HMN
HMSO",,901596,
29.04.11,"Centrale Shopping Ctr, London",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,160.397,"HMN
HMSO",,901596,
30.07.11,Colgate-Palmolive Co-Laundry,"Soaps, Cosmetics, and Personal-Care Products",Colombia,Unilever PLC,Food and Kindred Products,United Kingdom,100.00,100.0,215.00,"UL
ULVR
UNA",,900789,
29.04.11,"Elliott's Field Ret Park,Rugby",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,64.94,"HMN
HMSO",,901596,
24.03.11,"Monument Mall, Newcastle",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,45.828,"HMN
HMSO",,901596,
29.04.11,"Three Spires,Lichfield",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,68.187,"HMN
HMSO",,901596,
13.04.11,Vislink PLC,Electronic and Electrical Equipment,United Kingdom,Vislink PLC,Electronic and Electrical Equipment,United Kingdom,17.82,17.8,8.118,VLK,VLK,981352,981352
20.06.11,Enviro Mining Ltd,Mining,Zambia,Berkeley Mineral Resources Plc,Mining,United Kingdom,100.00,100.0,10.316,"BMR
BMRB
BMRBGB
TTEOF",,135527,
25.03.11,Clarita Solutions Ltd,Prepackaged Software,United Kingdom,K3 Business Tech Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,1.684,KBT,,135109,
01.04.11,"Vega Grande,Mendoza Province",Oil and Gas; Petroleum Refining,Argentina,Andes Energia PLC,Oil and Gas; Petroleum Refining,United Kingdom,10.00,34.0,1.70,"AEN
AEN",,29167J,
01.04.11,"Vega Grande,Mendoza Province",Oil and Gas; Petroleum Refining,Argentina,Andes Energia PLC,Oil and Gas; Petroleum Refining,United Kingdom,66.00,100.0,,"AEN
AEN",,29167J,
28.03.11,Ashtead Group PLC,Business Services,United Kingdom,Ashtead Group PLC,Business Services,United Kingdom,,,,AHT,AHT,906045,906045
28.03.11,Damar Machine Co,"Measuring, Medical, Photo Equipment; Clocks",United States,Senior PLC,Aerospace and Aircraft,United Kingdom,100.00,100.0,24.50,SNR,,900600,
28.03.11,Westbury Street Holdings Ltd,Retail Trade-Eating and Drinking Places,United Kingdom,Intermediate Capital Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,20.00,20.0,,ICP,,135592,
29.03.11,Escrow Associates LLC,Prepackaged Software,United States,NCC Group PLC,Business Services,United Kingdom,100.00,100.0,9.50,NCC,,29156C,
03.05.11,Ore Hill Partners LLC,"Investment & Commodity Firms,Dealers,Exchanges",United States,Man Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,50.00,100.0,,EMG,,136684,
30.03.11,Bell Pottinger ME FZ LLC,Business Services,Utd Arab Em,Chime Communications PLC,Business Services,United Kingdom,20.00,90.0,3.055,CHW,,904750,
15.04.11,Boxing Orange Ltd,Business Services,United Kingdom,Accumuli PLC,Business Services,United Kingdom,100.00,100.0,12.187,ACM,,32864D,
31.03.11,Optical Centre(OPSM Group Ltd),Miscellaneous Retail Trade,Hong Kong,London Hong Kong Exchange Plc,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,LHKEF,,54118K,
01.04.11,Crystal Technology LLC,Electronic and Electrical Equipment,United States,Gooch & Housego PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,13.75,GNH,,671388,
27.06.11,PowerHouse Energy Inc,"Electric, Gas, and Water Distribution",United States,Bidtimes Plc,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,11.197,BDT,,296456,
01.04.11,Redfyre Cookers Ltd,Electronic and Electrical Equipment,United Kingdom,Aga Rangemaster Group PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,1.208,AGA,,900737,
04.04.11,Carsite Ltd,Miscellaneous Retail Trade,United Kingdom,Tesco PLC,Retail Trade-Food Stores,United Kingdom,,,,"TSCDY
TSCO",,900803,
05.04.11,Definitive Insights Inc,Business Services,United States,YouGov PLC,Business Services,United Kingdom,100.00,100.0,4.837,YOU,,30804D,
05.04.11,Jeffery Building Products Ltd,Wholesale Trade-Durable Goods,United Kingdom,Michelmersh Brick Holdings PLC,"Stone, Clay, Glass, and Concrete Products",United Kingdom,25.00,25.0,.051,MBH,,28967X,
05.04.11,Investbx Ltd,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Share PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,9.99,10.0,,"SHRE
SHRE",,53444V,
05.04.11,Vice Holdings Inc,Advertising Services,Canada,WPP PLC,Advertising Services,United Kingdom,,,,WPP,,926119,
06.04.11,BDTS Training Services Ltd,Educational Services,United Kingdom,Woodspeen Training PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,2.854,WSTP,,,
06.04.11,Expatriate Management Services,Business Services,United Kingdom,Centaur Media PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,11.026,CAU,,28571L,
06.04.11,PPP-Infrastructure Management,Business Services,United Kingdom,Compass Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,,"CMPGY
CPG",,255049,
07.04.11,BeamOne LLC,Health Services,United States,Synergy Health PLC,Health Services,United Kingdom,100.00,100.0,55.00,SYR,,14408R,
09.05.11,ClerkMaxwell Ltd,Oil and Gas; Petroleum Refining,United Kingdom,Costain Group PLC,Business Services,United Kingdom,25.00,100.0,,COST,,900323,
07.04.11,ClerkMaxwell Ltd,Oil and Gas; Petroleum Refining,United Kingdom,Costain Group PLC,Business Services,United Kingdom,75.00,75.0,5.221,COST,,900323,
27.04.11,St Georges Harrow Ltd,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Redefine International PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,110.956,RDI,,36045M,
22.07.11,Australian Income Protection,Insurance,Australia,Beazley PLC,Insurance,United Kingdom,100.00,100.0,,BEZ,,26473F,
22.07.11,Blue-GUM,Insurance,Australia,Beazley PLC,Insurance,United Kingdom,100.00,100.0,,BEZ,,26473F,
10.05.11,Burst Media Corp,Business Services,United States,blinkx PLC,Business Services,United Kingdom,100.00,100.0,32.158,BLNX,BRST,50540V,35672D
08.04.11,"Mansion,West Dulwich",Retail Trade-Eating and Drinking Places,United Kingdom,The Capital Pub Co PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,2.529,CPUB,,29355V,
14.09.11,Praesepe PLC,Amusement and Recreation Services,United Kingdom,Marwyn Management Partners PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,52.17,MMP,PRA,74161F,32991J
08.04.11,"Rye,Peckham",Retail Trade-Eating and Drinking Places,United Kingdom,The Capital Pub Co PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,2.235,CPUB,,29355V,
11.04.11,Go Management Ltd,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Alpha Universal Management Plc,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,.052,LOTP,,,
11.04.11,Red Kite Consulting Group Ltd,Business Services,United Kingdom,Cello Group PLC,Business Services,United Kingdom,100.00,100.0,,CLL,,29721J,
11.04.11,Realys Group Ltd,Business Services,China,Interior Services Group PLC,Construction Firms,United Kingdom,85.00,85.0,8.948,ISG,,681686,
11.04.11,Sargents Ltd,Transportation and Shipping (except air),United Kingdom,Restore PLC,Business Services,United Kingdom,100.00,100.0,.817,RST,,29705Q,
27.04.11,Tribal Group PLC-Government,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,The Capita Group PLC,Business Services,United Kingdom,100.00,100.0,25.822,CPI,,953830,
11.04.11,Ultimate Hospitality Services,Retail Trade-Eating and Drinking Places,India,Compass Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,,"CMPGY
CPG",,255049,
11.04.11,Vipul Facility Management Ltd,Real Estate; Mortgage Bankers and Brokers,India,Compass Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,100.00,100.0,,"CMPGY
CPG",,255049,
12.04.11,Executel Ltd,Telecommunications,United Kingdom,TalkTalk Telecom Group PLC,Telecommunications,United Kingdom,100.00,100.0,,TALK,,69056U,
13.04.11,Go Outdoors Ltd,Miscellaneous Retail Trade,United Kingdom,3i Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,,,10.638,III,,960338,
28.06.12,American Wagering Inc,Amusement and Recreation Services,United States,William Hill PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,7.564,WMH,BETMQ,258107,874245
14.04.11,Derwent Lynton Co Ltd,Food and Kindred Products,United Kingdom,Zetar PLC,Food and Kindred Products,United Kingdom,100.00,100.0,1.308,ZTR,,29974U,
14.04.11,Kier Developments Ltd,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Kier Group PLC,Construction Firms,United Kingdom,50.00,50.0,148.749,KIE,,882977,
28.06.12,Sierra Development-Cal Neva,Amusement and Recreation Services,United States,William Hill PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,22.50,WMH,,258107,
15.04.11,Ikonami Ltd,Prepackaged Software,United Kingdom,Electric Word PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,3.59,ELE,,290587,
15.04.11,Right Document Solutions,Business Services,United Kingdom,The Capita Group PLC,Business Services,United Kingdom,100.00,100.0,65.28,CPI,,953830,
15.04.11,Technophobia Ltd,Prepackaged Software,United Kingdom,The Capita Group PLC,Business Services,United Kingdom,100.00,100.0,10.282,CPI,,953830,
10.06.11,Soccerdome Ltd,Amusement and Recreation Services,United Kingdom,Weather Lottery PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,.857,TWL,,41196C,
16.05.11,Commarco GmbH,"Investment & Commodity Firms,Dealers,Exchanges",Germany,WPP PLC,Advertising Services,United Kingdom,100.00,100.0,,WPP,,926119,
19.04.11,Options Network Ltd,Business Services,United Kingdom,Network Group Holdings PLC,Business Services,United Kingdom,100.00,100.0,1.083,NGH,,51035H,
20.04.11,Blinkbox Entertainment Ltd,Business Services,United Kingdom,Tesco PLC,Retail Trade-Food Stores,United Kingdom,80.00,80.0,,"TSCDY
TSCO",,900803,
04.07.11,General Dynamics Armament-Asts,"Measuring, Medical, Photo Equipment; Clocks",United States,Chemring Group PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,90.00,CHG,,914073,
21.04.11,Arar Petrol ve Gaz Arama,Oil and Gas; Petroleum Refining,Turkey,The Niche Group PLC,Oil and Gas; Petroleum Refining,United Kingdom,5.00,5.0,13.122,NGP,,29100J,
23.05.11,Stobart Biomass Products Ltd,"Wood Products, Furniture, and Fixtures",United Kingdom,Stobart Group Ltd,Transportation and Shipping (except air),United Kingdom,50.00,100.0,,STOB,,29834T,
28.02.12,WESTBURY PROPERTY FUND LTD-PRO,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Stobart Group Ltd,Transportation and Shipping (except air),United Kingdom,100.00,100.0,19.813,STOB,,29834T,
26.04.11,Fourstar Employment & Skills,Social Services,United Kingdom,Staffline Group PLC,Business Services,United Kingdom,100.00,100.0,4.944,STAF,,29805X,
27.04.11,Golar LNG Energy Ltd,Transportation and Shipping (except air),Bermuda,Golar LNG Ltd,Transportation and Shipping (except air),United Kingdom,29.36,90.5,352.765,"GLNG
GOL",GOLE,26603E,68120W
26.04.11,Mighty Me Investments Ltd,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Valiant Investments PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,91.30,100.0,.11,VALP,,50814D,
31.12.11,NewMarket Impressions LLC,"Printing, Publishing, and Allied Services",United States,Domino Printing Sciences PLC,Machinery,United Kingdom,15.00,15.0,50.00,"DMIPY
DNO",,910043,
26.04.11,Red Line Engineering Services,Business Services,United Kingdom,Active Energy Group PLC,"Electric, Gas, and Water Distribution",United Kingdom,100.00,100.0,1.132,AEG,,865704,
26.04.11,SchoolNet INc,Prepackaged Software,United States,Pearson PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,230.00,"PSO
PSO3
PSON",,914021,
27.04.11,Golar LNG Energy Ltd,Transportation and Shipping (except air),Bermuda,Golar LNG Ltd,Transportation and Shipping (except air),United Kingdom,3.79,94.3,45.44,"GLNG
GOL",GOLE,26603E,68120W
27.04.11,Intergrowth Enterprises Ltd,"Investment & Commodity Firms,Dealers,Exchanges",Germany,Dominos Pizza Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,75.00,75.0,14.409,DOM,,278612,
30.06.11,"One Carter Lane,Two Old Change",Real Estate; Mortgage Bankers and Brokers,United Kingdom,London & Stamford Property PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,124.695,LSP,,51249M,
27.04.11,Switch Media Ltd,Business Services,United Kingdom,iomart Group PLC,Business Services,United Kingdom,100.00,100.0,2.078,IOM,,291999,
28.04.11,Allsave Ltd,Social Services,United Kingdom,Motivcom PLC,Business Services,United Kingdom,100.00,100.0,3.70,MCM,,29359V,
28.04.11,My Family Care Vouchers Ltd,Social Services,United Kingdom,Motivcom PLC,Business Services,United Kingdom,100.00,100.0,,MCM,,29359V,
28.04.11,Oak Underwriting PLC,Insurance,United Kingdom,RSA Insurance Group PLC,Insurance,United Kingdom,100.00,100.0,,RSA,,901514,
16.06.11,Quindell Ltd,Business Services,United Kingdom,Mission Capital PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,50.974,,,32360V,
28.06.12,Brandywine Bookmaking LLC,Amusement and Recreation Services,United States,William Hill PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,15.65,WMH,,258107,
03.05.11,PIXELearning Ltd,Prepackaged Software,United Kingdom,Intellego Holdings PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,1.82,IHP,,29918K,
04.05.11,Calamares,Miscellaneous Services,Netherlands,SDL PLC,Business Services,United Kingdom,100.00,100.0,,SDL,,278833,
04.05.11,Network Professional,Business Services,United Kingdom,Network Group Holdings PLC,Business Services,United Kingdom,75.10,75.1,.157,NGH,,51035H,
05.05.11,Wrekin Grain Ltd,Wholesale Trade-Nondurable Goods,United Kingdom,Wynnstay Group PLC,Food and Kindred Products,United Kingdom,100.00,100.0,6.556,WYN,,28958V,
06.05.11,BMT Marine & Offshore -Certain,Business Services,United Kingdom,Braemar Shipping Services PLC,Transportation and Shipping (except air),United Kingdom,,,3.928,BMS,,898792,
06.05.11,Centeni AB,Real Estate; Mortgage Bankers and Brokers,Sweden,Royal Bank of Scotland Grp PLC,"Commercial Banks, Bank Holding Companies",United Kingdom,100.00,100.0,,"RBS
RBS",,901450,
24.05.11,Leeds Skin Centre for Applied,Drugs,United Kingdom,Syntopix Group PLC,Business Services,United Kingdom,100.00,100.0,1.992,SYN,,32985W,
06.05.11,Raw Games Ltd,Prepackaged Software,United Kingdom,Legendary Investments PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,42.50,42.5,,LEG,,288000,
06.05.11,Triple West Medical Ltd,Business Services,United Kingdom,Servoca PLC,Business Services,United Kingdom,100.00,100.0,,SVCA,,681165,
12.05.11,Devon Energy do Brasil Ltda,Oil and Gas; Petroleum Refining,Brazil,BP PLC,Oil and Gas; Petroleum Refining,United Kingdom,100.00,100.0,,"BP
BP
BPE",,900995,
10.05.11,Kirk Key Interlock Co LLC,Metal and Metal Products,United States,Halma PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,14.70,"HALMY
HLMA",,910821,
30.06.11,UK North Sea Block 9/28a,Oil and Gas; Petroleum Refining,United Kingdom,EnQuest PLC,Oil and Gas; Petroleum Refining,United Kingdom,32.00,51.0,57.036,"ENQ
N/A
OMX",,69033U,
05.07.11,Golar LNG Energy Ltd,Transportation and Shipping (except air),Bermuda,Golar LNG Ltd,Transportation and Shipping (except air),United Kingdom,4.80,100.0,56.456,"GLNG
GOL",GOLE,26603E,68120W
11.05.11,Golden Goal Sports Ventures,Amusement and Recreation Services,Brazil,Chime Communications PLC,Business Services,United Kingdom,60.00,60.0,3.924,CHW,,904750,
11.05.11,Qualite Search Marketing AS,Business Services,Norway,Aegis Group PLC,Advertising Services,United Kingdom,100.00,100.0,,AGS,,917597,
13.05.11,CMG Worldwide Ltd,Advertising Services,United Kingdom,Next Fifteen Commun Grp PLC,Business Services,United Kingdom,80.00,80.0,3.176,NFC,,278766,
05.04.12,CMG Worldwide Ltd,Advertising Services,United Kingdom,Next Fifteen Commun Grp PLC,Business Services,United Kingdom,20.00,100.0,,NFC,,278766,
13.05.11,Camtronics Vale Ltd,Electronic and Electrical Equipment,United Kingdom,Photonstar LED Group PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,.593,PSL,,50281T,
13.05.11,EBCO Systems-distribution svcs,Electronic and Electrical Equipment,Brazil,Smiths Group PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,,"SMIN
SMIN
SMIN
SMIN
SMIN
SMIN",,900943,
13.05.11,Pink Soda,Textile and Apparel Products,United Kingdom,JD Sports Fashion PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,,JD.,,882323,
13.05.11,Peter Werth,Textile and Apparel Products,United Kingdom,JD Sports Fashion PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,,JD.,,882323,
03.06.11,Iron Mountain Inc-Assets,Business Services,United States,Autonomy Corp PLC,Prepackaged Software,United Kingdom,100.00,100.0,380.00,"AU.
AUTNF
AUTNF",,29963E,
16.05.11,Jobson James Financial,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Charles Stanley Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,CAY,,910964,
16.05.11,Noble Marine (Ins Brokers) Ltd,Insurance,United Kingdom,RSA Insurance Group PLC,Insurance,United Kingdom,100.00,100.0,,RSA,,901514,
02.06.11,John Wood Group PLC,Oil and Gas; Petroleum Refining,United Kingdom,John Wood Group PLC,Oil and Gas; Petroleum Refining,United Kingdom,32.10,32.1,674.239,WG,WG,258098,258098
30.06.11,Hilite International Inc,Transportation Equipment,United States,3i Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,,,,III,,960338,
17.05.11,Tubex Ltd,"Wood Products, Furniture, and Fixtures",United Kingdom,Fiberweb PLC,Textile and Apparel Products,United Kingdom,100.00,100.0,9.338,FWEB,,413032,
15.06.11,Fish On Line(Pty)Ltd,Wholesale Trade-Nondurable Goods,South Africa,Lonrho PLC,Construction Firms,United Kingdom,51.00,51.0,.507,"LONR
LONR",,676522,
06.06.11,MACTEC Inc,Business Services,United States,AMEC PLC,Business Services,United Kingdom,100.00,100.0,280.00,AMEC,,901788,
19.05.11,ATA Bygg-och Markproduter AB,Miscellaneous Manufacturing,Sweden,Hill & Smith Holdings PLC,Metal and Metal Products,United Kingdom,100.00,100.0,15.905,HILS,,911998,
26.05.11,Atalasoft Inc,Prepackaged Software,United States,Kofax PLC,Prepackaged Software,United Kingdom,100.00,100.0,15.20,KFX,,870805,
20.05.11,Echo Research Ltd,Business Services,United Kingdom,Ebiquity PLC,Business Services,United Kingdom,100.00,100.0,16.227,THN,,291678,
23.05.11,Informatica Gesfor SA,Business Services,Spain,Logica PLC,Prepackaged Software,United Kingdom,100.00,100.0,44.248,"LOG
LOG",,901940,
17.06.11,Stanbio Laboratory LP,Drugs,United States,EKF Diagnostics Holdings PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,25.35,EKF,,258093,
24.05.11,MitoSciences Inc,Drugs,United States,Abcam PLC,Drugs,United Kingdom,100.00,100.0,6.00,ABC,,32144N,
24.05.11,Nubian Gold Exploration Ltd,Mining,United Kingdom,Alecto Minerals PLC,Oil and Gas; Petroleum Refining,United Kingdom,100.00,100.0,.822,ALO,,36213W,
11.07.11,Reef Resources Ltd-Ausable,Oil and Gas; Petroleum Refining,Canada,Solo Oil PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,23.80,23.8,2.56,ITI,,32373H,
24.05.11,Univanich Palm Oil PCL,Food and Kindred Products,Thailand,Templeton Emerging Markets,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,5.02,5.0,11.028,TEM,UVAN,946630,28136F
